Gene name	Human gene name
Efemp2	EFEMP2
Akap14	AKAP14
Ndufa1	NDUFA1
Dach1	DACH1
Nr3c2	NR3C2
Epcip	EPCIP
Iws1	IWS1
Zbtb20	ZBTB20
Ndufb9	NDUFB9
C9	C9
Carmil2	CARMIL2
Gm54406	RN7SKP254
Fyb1	FYB1
Zmym5	ZMYM5
Greb1	GREB1
Cysltr1	CYSLTR1
Pcm1	PCM1
Mus81	MUS81
Hexb	HEXB
Wdhd1	WDHD1
Map3k2	MAP3K2
Mtss1	MTSS1
Rtl3	RTL3
Ercc3	ERCC3
Lpar4	LPAR4
Hivep1	HIVEP1
P2ry10	P2RY10
Snx32	SNX32
Tigit	TIGIT
Edn1	EDN1
Ppp2r3c	PPP2R3C
Prkdc	PRKDC
Tex51	TEX51
Srbd1	SRBD1
Gypc	GYPC
Arhgef28	ARHGEF28
Rps6kl1	RPS6KL1
Tslp	TSLP
Wdr36	WDR36
Nscme3l	NSMCE3
Ovol1	OVOL1
Rictor	RICTOR
Socs4	SOCS4
Pgf	PGF
Ap5b1	AP5B1
Gpr174	GPR174
Acd	ACD
Zmym2	ZMYM2
Rnaseh2c	RNASEH2C
Tecpr2	TECPR2
Smarca2	SMARCA2
Itm2a	ITM2A
Camk4	CAMK4
Lgals3	LGALS3
Asah1	ASAH1
Stard4	STARD4
Tmem247	TMEM247
Atp6v1e2	ATP6V1E2
Eif2b2	EIF2B2
Rhoq	RHOQ
Nrep	NREP
Prorp	PRORP
Pibf1	PIBF1
1500009L16Rik	C12orf75
Tbx22	TBX22
Epb41l4a	EPB41L4A
Pigf	PIGF
Drd3	DRD3
Pard6a	PARD6A
Arhgap18	ARHGAP18
Mrpl47	MRPL47
Cript	CRIPT
Nsmce2	NSMCE2
Adgrl4	ADGRL4
Gm54625	SNORA13
Yeats4	YEATS4
Socs5	SOCS5
Cebpd	CEBPD
Spidr	SPIDR
Trib1	TRIB1
Zmiz1	ZMIZ1
Phactr1	PHACTR1
Enkd1	ENKD1
Nfam1	NFAM1
Lyz3	LYZ
Piezo2	PIEZO2
Ndufb5	NDUFB5
Mlh3	MLH3
4933405L10Rik	C16orf86
Arhgap10	ARHGAP10
Mcfd2	MCFD2
Lama2	LAMA2
Tent5d	TENT5D
Slc30a7	SLC30A7
Pkp2	PKP2
Brwd3	BRWD3
Ifi44	IFI44
Yars2	YARS2
Zc2hc1c	ZC2HC1C
Gm25875	RNU6-763P
Klf5	KLF5
Osmr	OSMR
Slco1c1	SLCO1C1
Nek9	NEK9
Gm22984	RNU2-41P
Zdhhc23	ZDHHC23
Ifi44l	IFI44L
Klf12	KLF12
Ptgfr	PTGFR
Ttc7	TTC7A
Ifnar1	IFNAR1
Usp13	USP13
Prr30	PRR30
Tmed10	TMED10
Dlgap5	DLGAP5
Fos	FOS
Nol10	NOL10
Triml1	TRIML1
Hmgn5	HMGN5
Gfod2	GFOD2
Lratd2	LRATD2
Extl2	EXTL2
Gm25797	RNU6-1227P
Ifngr2	IFNGR2
Sh3bgrl	SH3BGRL
Triml2	TRIML2
A1bg	A1BG
Cpsf6	CPSF6
Tbc1d7	TBC1D7
Gm54436	RN7SKP31
Tmem255a	TMEM255A
Odc1	ODC1
Tmem50b	TMEM50B
Serhl	SERHL2
Prmt9	PRMT9
Gramd1c	GRAMD1C
Stpg4	STPG4
Gipc2	GIPC2
Hpcal1	HPCAL1
Calm2	CALM2
Zfp42	ZFP42
Rfx4	RFX4
Gfod1	GFOD1
Dnajb4	DNAJB4
Ranbp10	RANBP10
Gm26108	RNU2-3P
Pou3f4	POU3F4
Fbxo11	FBXO11
Atp1b4	ATP1B4
Myc	MYC
Plpp3	PLPP3
Vcam1	VCAM1
Miip	MIIP
Tbc1d4	TBC1D4
Sirt5	SIRT5
Lamp2	LAMP2
Dnajc28	DNAJC28
Tmem184c	TMEM184C
Atp6v1a	ATP6V1A
Igkv20-101-2	IGKV1OR2-108
Bag5	BAG5
Coa8	COA8
Gpr88	GPR88
Tsnaxip1	TSNAXIP1
Lifr	LIFR
Cdc14a	CDC14A
Mbip	MBIP
Mtrr	MTRR
Ednra	EDNRA
Nkx2-1	NKX2-1
Cpm	CPM
Mfn2	MFN2
Jam3	JAM3
Nkx2-9	NKX2-8
Pax9	PAX9
Cenpt	CENPT
Hmgcll1	HMGCLL1
Gm22542	RNU6-446P
Foxn2	FOXN2
Slc25a21	SLC25A21
Fam120c	FAM120C
Ric8b	RIC8B
Ppp1r21	PPP1R21
Nol7	NOL7
Gm24848	RNU6-1333P
Apc	APC
Klc1	KLC1
Thap11	THAP11
Ttc29	TTC29
Dnm1l	DNM1L
Arl14	ARL14
Gfral	GFRAL
Ppm1l	PPM1L
Cul4b	CUL4B
Fbxo34	FBXO34
Fastkd3	FASTKD3
Arhgef7	ARHGEF7
Ston1	STON1
B3galnt1	B3GALNT1
Tmem263	TMEM263
Nmd3	NMD3
Mterf2	MTERF2
Gtf2a1l	GTF2A1L
Cry1	CRY1
Lhcgr	LHCGR
Zfp322a	ZNF322
Mdm2	MDM2
Micu2	MICU2
Fshr	FSHR
Pip	PIP
Lrfn2	LRFN2
Hcrtr2	HCRTR2
Fgf9	FGF9
Mocs1	MOCS1
Pex5l	PEX5L
Cfap90	CFAP90
Abt1	ABT1
Atg14	ATG14
Btn1a1	BTN1A1
Tas2r139	TAS2R39
Plod1	PLOD1
Txnl1	TXNL1
Fam83b	FAM83B
Adcy2	ADCY2
Htr3b	HTR3B
Foxa1	FOXA1
Tas2r144	TAS2R40
Ttc6	TTC6
Iapp	IAPP
Daam2	DAAM2
Gstk1	GSTK1
Opcml	OPCML
2510039O18Rik	KIAA2013
Xrcc3	XRCC3
Ssbp3	SSBP3
Slc35e3	SLC35E3
Ptprk	PTPRK
Tmem139	TMEM139
Ranbp9	RANBP9
Glyctk	GLYCTK
Egflam	EGFLAM
Pyroxd1	PYROXD1
Sec23a	SEC23A
Wdr7	WDR7
Apool	APOOL
Kif6	KIF6
Casp2	CASP2
Tinag	TINAG
Gemin2	GEMIN2
Naa50	NAA50
Mcts1	MCTS1
Kat5	KAT5
Setdb2	SETDB2
Mir135a-1	MIR135A1
Rftn1	RFTN1
Mcur1	MCUR1
Ntm	NTM
Esrrb	ESRRB
Satl1	SATL1
Rnf182	RNF182
C1galt1c1	C1GALT1C1
Usf3	USF3
Recql	RECQL
Cd83	CD83
Btn2a2	BTN2A2
Dazl	DAZL
Wdr82	WDR82
Gart	GART
Zfp711	ZNF711
Gdnf	GDNF
Wdr70	WDR70
Mirlet7g	MIRLET7G
Snx19	SNX19
Pof1b	POF1B
Plcl2	PLCL2
Zfyve21	ZFYVE21
Hfe	HFE
Nrxn1	NRXN1
Cab39l	CAB39L
Cyrib	CYRIB
Fat1	FAT1
Sptssb	SPTSSB
H1f2	H1-2
Themis	THEMIS
Adamts15	ADAMTS15
H2bc3	H2BC15
Tnpo1	TNPO1
Chm	CHM
Ppm1m	PPM1M
Otol1	OTOL1
Snx27	SNX27
Nup155	NUP155
Golt1b	GOLT1B
Cdadc1	CDADC1
Trappc6b	TRAPPC6B
Adamts8	ADAMTS8
Abtb3	ABTB3
Spx	SPX
Zbtb44	ZBTB44
Mir361	MIR361
Phf8	PHF8
Ppp1r13b	PPP1R13B
Rela	RELA
Mtnr1a	MTNR1A
St8sia3	ST8SIA3
Gys2	GYS2
F11	F11
Mlip	MLIP
Onecut2	ONECUT2
Shisa2	SHISA2
Pnn	PNN
Atp8a2	ATP8A2
Fech	FECH
Klkb1	KLKB1
Irf2bpl	IRF2BPL
Atp5mj	ATP5MJ
Tuft1	TUFT1
Cyp4v3	CYP4V2
Cipc	CIPC
H3c1	H3C1
Vldlr	VLDLR
H1f1	H1-1
Disp3	DISP3
Cplane1	CPLANE1
Ldhb	LDHB
Trim38	TRIM38
Edc4	EDC4
Zfp366	ZNF366
Ptcd2	PTCD2
Pwp1	PWP1
Gm49336	NUP58
Zdhhc22	ZDHHC22
Tdrd9	TDRD9
Slc17a2	SLC17A2
Sidt1	SIDT1
Mrpl37	MRPL37
Clcn1	CLCN1
Sis	SI
Nars1	NARS1
Nipbl	NIPBL
Rap1b	RAP1B
St14	ST14
Gm54681	RN7SKP103
Mrps27	MRPS27
Cdh7	CDH7
Ubiad1	UBIAD1
Cyb5rl	CYB5RL
Mtcl3	MTCL3
Twf2	TWF2
Map1b	MAP1B
Kifbp	KIFBP
Cartpt	CARTPT
Exo1	EXO1
Rd3l	RD3L
Gsg1l	GSG1L
Jarid2	JARID2
Slitrk3	SLITRK3
Dennd6a	DENND6A
Aspg	ASPG
Cdcp2	CDCP2
Bche	BCHE
Scube1	SCUBE1
Vstm2b	VSTM2B
Mtor	MTOR
Zbbx	ZBBX
Nrn1l	NRN1L
Tbc1d5	TBC1D5
Spice1	SPICE1
Pskh1	PSKH1
Mir203	MIR203B
Ctrl	CTRL
Adam17	ADAM17
Becn2	BECN2
Tlr9	TLR9
Uxs1	UXS1
9330159F19Rik	KIAA0408
Alas1	ALAS1
Fam149a	FAM149A
Ddx21	DDX21
Cfap44	CFAP44
Serpini2	SERPINI2
Prdm4	PRDM4
Kcnj8	KCNJ8
Wdr49	WDR49
Shank2	SHANK2
Rfx3	RFX3
Lrrc1	LRRC1
Pdcd10	PDCD10
Nup85	NUP85
Atp8b1	ATP8B1
Cdh19	CDH19
Son	SON
Angptl7	ANGPTL7
Psmb10	PSMB10
Gm24002	RNU6-376P
Tceanc2	TCEANC2
Dsel	DSEL
Ascl4	ASCL4
Frrs1	FRRS1
Ddx50	DDX50
Adcyap1	ADCYAP1
Lcat	LCAT
Gria3	GRIA3
Pld5	PLD5
Slc1a3	SLC1A3
Zfp827	ZNF827
Shisa3	SHISA3
Mccc2	MCCC2
Fam131b	FAM131B
Nkx6-1	NKX6-1
Gm25935	U6
Ctnna1	CTNNA1
Mettl4	METTL4
Rtcb	RTCB
Cds1	CDS1
Rpa1	RPA1
Tmem59	TMEM59
Mpped1	MPPED1
Satb1	SATB1
Echdc1	ECHDC1
Palmd	PALMD
Slc17a3	SLC17A3
Mtmr6	MTMR6
Pptc7	PPTC7
Gm26104	RNU6-98P
Ap3b2	AP3B2
1700011L22Rik	C4orf51
Ttc14	TTC14
Amer2	AMER2
Mmaa	MMAA
Gm24765	RNU6-786P
Lrrtm2	LRRTM2
Spata13	SPATA13
Rrs1	RRS1
Cdk6	CDK6
Tlr3	TLR3
Adhfe1	ADHFE1
Sil1	SIL1
Boc	BOC
Klhl31	KLHL31
Stox1	STOX1
Efcab6	EFCAB6
Ldlrad1	LDLRAD1
Gclc	GCLC
Lrrc42	LRRC42
Smyd4	SMYD4
Rad9b	RAD9B
Bpifc	BPIFC
Ablim1	ABLIM1
Dach2	DACH2
Ice1	ICE1
Nrg2	NRG2
Rnf146	RNF146
Poc1a	POC1A
Gga3	GGA3
Exosc10	EXOSC10
Vps29	VPS29
Fgd4	FGD4
Tmem63c	TMEM63C
Smad1	SMAD1
Slc17a1	SLC17A1
Ednrb	EDNRB
Gm25596	RNU6-268P
Pura	PURA
Zyx	ZYX
Igip	IGIP
Fbxo7	FBXO7
Cystm1	CYSTM1
Vxn	VXN
Slc12a4	SLC12A4
Pou4f1	POU4F1
Sult4a1	SULT4A1
Obi1	OBI1
Cep170	CEP170
Pfdn1	PFDN1
Fam216a	FAM216A
Kcnh8	KCNH8
Rspo3	RSPO3
Nedd4l	NEDD4L
Mipep	MIPEP
Gpn3	GPN3
Efhb	EFHB
Pnpla5	PNPLA5
Gm54555	RN7SKP12
Slc17a4	SLC17A4
Mrps7	MRPS7
Aplp2	APLP2
Cenpw	CENPW
Igkc	IGKC
Rab5a	RAB5A
Syn3	SYN3
Serpinf1	SERPINF1
Rpia	RPIA
Pp2d1	PP2D1
Kat2b	KAT2B
Pnpla3	PNPLA3
H2bc1	H2BC1
H2ac1	H2AC1
Xpo6	XPO6
Bdp1	BDP1
Tnfrsf19	TNFRSF19
Arpc3	ARPC3
Ruvbl1	RUVBL1
Samm50	SAMM50
Kif26a	KIF26A
Timp3	TIMP3
Mdm1	MDM1
Parvb	PARVB
Ift25	IFT25
Ngb	NGB
Epha1	EPHA1
Parvg	PARVG
Xiap	XIAP
Sgo1	SGO1
Otud4	OTUD4
Mif4gd	MIF4GD
Dio1	DIO1
Sacs	SACS
Shisal1	SHISAL1
Eif2ak3	EIF2AK3
Sult1c2	SULT1C2
Atp8a1	ATP8A1
Klhl4	KLHL4
Yipf1	YIPF1
Mybl1	MYBL1
Sult1c1	SULT1C3
Capsl	CAPSL
Slc5a7	SLC5A7
Pomt2	POMT2
Il7r	IL7R
Mylip	MYLIP
Dpep3	DPEP3
St6gal2	ST6GAL2
Serpinf2	SERPINF2
Sgcg	SGCG
Upk3a	UPK3A
Ubxn2b	UBXN2B
Tas2r135	TAS2R60
Spmip9	SPMIP9
Fam118a	FAM118A
Tas2r126	TAS2R41
Fubp1	FUBP1
Foxi3	FOXI3
Adamts16	ADAMTS16
Gm23485	RNU1-72P
Abce1	ABCE1
Arl11	ARL11
Gm54927	SCARNA15
Ebpl	EBPL
Sec61a1	SEC61A1
Fsd2	FSD2
Arhgef3	ARHGEF3
Ncam1	NCAM1
Gm54493	RNU4-57P
Spef2	SPEF2
Cpxcr1	CPXCR1
Vcpip1	VCPIP1
Tbc1d24	TBC1D24
Nepro	NEPRO
Sbk1	SBK1
Anapc10	ANAPC10
Kpna3	KPNA3
Tpp2	TPP2
Slc25a19	SLC25A19
Pabpc5	PABPC5
Hhip	HHIP
Ccar1	CCAR1
Rbm26	RBM26
Stag2	STAG2
Kbtbd12	KBTBD12
Scgn	SCGN
Gstz1	GSTZ1
Thnsl2	THNSL2
Gm25633	RNU6-1241P
Plet1	PLET1
Wdr81	WDR81
Gtpbp8	GTPBP8
Serf1	SERF1A
Prdm10	PRDM10
Gmpr	GMPR
Tmed8	TMED8
Samd15	SAMD15
Irx1	IRX1
Tox	TOX
Tlcd2	TLCD2
Noxred1	NOXRED1
Pts	PTS
Frem3	FREM3
Dus2	DUS2
Mir22	MIR22
Smc1b	SMC1B
Grb2	GRB2
Taf1b	TAF1B
Snord98	SNORD98
Trmt11	TRMT11
Fabp1	FABP1
Fkbp15	FKBP15
Donson	DONSON
Irx2	IRX2
Bco2	BCO2
Tcaf1	TCAF1
Irx4	IRX4
Dpep2nb	DPEP2NB
Ddx28	DDX28
Il18	IL18
Ribc2	RIBC2
Nfatc3	NFATC3
Stmnd1	STMND1
Rbm24	RBM24
Asap1	ASAP1
Tex12	TEX12
Grhl1	GRHL1
Ndufs6	NDUFS6
Sdhd	SDHD
Usp34	USP34
Anapc7	ANAPC7
Timm8b	TIMM8B
Nfrkb	NFRKB
Cttn	CTTN
Ifng	IFNG
Mrpl36	MRPL36
Cap2	CAP2
Ntn3	NTN3
Hint3	HINT3
Tasor	TASOR
Clec4n	CLEC6A
Tedc2	TEDC2
Tet1	TET1
Fam8a1	FAM8A1
Klf11	KLF11
Usp38	USP38
Wdfy3	WDFY3
Vipas39	VIPAS39
Ccdc66	CCDC66
Ccnf	CCNF
Top3b	TOP3B
Dyrk2	DYRK2
Esrp2	ESRP2
Slc25a16	SLC25A16
Tmem45b	TMEM45B
Whamm	WHAMM
Clec4d	CLEC4D
Barx2	BARX2
Gm54461	RNU6-160P
Spry2	SPRY2
Or2a5	OR2A5
Or2a25	OR2A25
Trim52	TRIM52
Sdccag8	SDCCAG8
Nkapd1	NKAPD1
Or2a12	OR2A12
Cand1	CAND1
Pla2g15	PLA2G15
Gm23459	RNU4-15P
Sh2d1a	SH2D1A
Snord64	SNORD64
Slitrk1	SLITRK1
Snord107	SNORD107
Lat	LAT
Clec4e	CLEC4E
Gm23242	RNU6-1079P
Slc7a6	SLC7A6
Gm25670	RNU6-838P
Dleu7	DLEU7
Slitrk6	SLITRK6
Rnaseh2b	RNASEH2B
Pih1d2	PIH1D2
Huwe1	HUWE1
Dna2	DNA2
Slitrk5	SLITRK5
Snrnp40	SNRNP40
Or2a52	OR2A2
Gm22764	RNU6-234P
Slc7a6os	SLC7A6OS
Carmil1	CARMIL1
Nkain1	NKAIN1
Mir17	MIR17
Mir18	MIR18A
Mir19a	MIR19A
Mir20a	MIR20A
Mir19b-1	MIR19B1
Prmt7	PRMT7
Dlat	DLAT
Zfp618	ZNF618
Mgll	MGLL
H2-DMa	HLA-DMA
Ahsa1	AHSA1
Mettl21c	METTL21C
Cys1	CYS1
Ccdc168	CCDC168
Niban1	NIBAN1
Cgas	CGAS
Ambp	AMBP
Abca3	ABCA3
Snrpn	SNRPN
Stab2	STAB2
Smpd3	SMPD3
Tmem94	TMEM94
Arhgap32	ARHGAP32
Ctnnbip1	CTNNBIP1
Ism2	ISM2
Gm4131	C13orf42
Inpp4b	INPP4B
Fam124a	FAM124A
Kif12	KIF12
Rrm2	RRM2
Gpc5	GPC5
Snurf	SNURF
Erich4	ERICH4
Serpine3	SERPINE3
Dmac2	DMAC2
Mboat2	MBOAT2
Ints6	INTS6
Akt3	AKT3
B3gnt8	B3GNT8
Homer2	HOMER2
Pum1	PUM1
Nup153	NUP153
Plppr4	PLPPR4
Erc2	ERC2
Kctd8	KCTD8
Yipf7	YIPF7
Mto1	MTO1
Arhgap24	ARHGAP24
Atp5f1e	ATP5F1E
Ccdc39	CCDC39
Zbtb18	ZBTB18
Prpf8	PRPF8
Arhgef5	ARHGEF5
Rspo4	RSPO4
Kcnj5	KCNJ5
Kif13a	KIF13A
Tex30	TEX30
Glis3	GLIS3
Bckdha	BCKDHA
Kcnj1	KCNJ1
Rtf1	RTF1
Ppm1f	PPM1F
Fstl5	FSTL5
Cryzl1	CRYZL1
Ncoa7	NCOA7
Il15	IL15
Ppfia1	PPFIA1
Fli1	FLI1
Gcg	GCG
Gm25618	RNU6-254P
Nobox	NOBOX
Prelid3b	PRELID3B
Cyth3	CYTH3
Zfp330	ZNF330
Plppr5	PLPPR5
Abtb1	ABTB1
Slc17a5	SLC17A5
Atrnl1	ATRNL1
Itpka	ITPKA
Surf2	SURF2
Edem3	EDEM3
Rnf150	RNF150
Cd109	CD109
Snx7	SNX7
Rnps1	RNPS1
Tbc1d9	TBC1D9
Spns1	SPNS1
Zfp831	ZNF831
Gpc6	GPC6
Surf4	SURF4
Gfra1	GFRA1
Wdfy2	WDFY2
Tpk1	TPK1
Dpyd	DPYD
Fam171a1	FAM171A1
Ccdc80	CCDC80
Dct	DCT
Atp2a2	ATP2A2
Psmb9	PSMB9
Rilp	RILP
Ucp1	UCP1
Wnt5a	WNT5A
Sntb2	SNTB2
Ets1	ETS1
Slc35a5	SLC35A5
Exosc5	EXOSC5
Caskin2	CASKIN2
Podxl2	PODXL2
Rapgef2	RAPGEF2
Spmip3	SPMIP3
Eci1	ECI1
Gm22085	RNU6-1215P
Elmod2	ELMOD2
Defb30	DEFB135
1700025G04Rik	C1orf21
Nfatc2ip	NFATC2IP
Atg3	ATG3
Defb42	DEFB136
Stkld1	STKLD1
Tmem91	TMEM91
Gm23629	RNU6-652P
Ctsb	CTSB
Dnase1l2	DNASE1L2
Mapk1	MAPK1
Adss2	ADSS2
Ccdc172	CCDC172
B9d2	B9D2
Scarf1	SCARF1
Mgat4d	MGAT4D
Tgds	TGDS
Rexo4	REXO4
Abcc9	ABCC9
Pnlip	PNLIP
Vps4a	VPS4A
Tap1	TAP1
Tgfb1	TGFB1
Tsen15	TSEN15
Tsen54	TSEN54
Pnliprp1	PNLIPRP1
Gm22013	RNU6-342P
Rnf144b	RNF144B
Epha4	EPHA4
Nmt2	NMT2
Cd19	CD19
Gpr180	GPR180
Pdf	PDF
Gm24150	RNU6-314P
Spmip2	SPMIP2
Cog8	COG8
Dixdc1	DIXDC1
Sox21	SOX21
Nexn	NEXN
Cacna2d3	CACNA2D3
Btla	BTLA
Pnliprp2	PNLIPRP2
Rufy2	RUFY2
Id4	ID4
Clgn	CLGN
Jak2	JAK2
Ripor2	RIPOR2
Ccdc97	CCDC97
Clstn1	CLSTN1
Gm22005	RNU4-49P
Rpp38	RPP38
Cd200	CD200
Acbd7	ACBD7
Otud7a	OTUD7A
Nip7	NIP7
Gm54537	RN7SKP112
Slc43a2	SLC43A2
Fdft1	FDFT1
Tenm1	TENM1
Usp42	USP42
Tmed6	TMED6
Olah	OLAH
Scoc	SCOC
Klf13	KLF13
Lrtm1	LRTM1
Psmb8	PSMB8
Gm55013	SNORA74
Colgalt2	COLGALT2
Adamts13	ADAMTS13
Bnc1	BNC1
Slc9c1	SLC9C1
Neil2	NEIL2
Rabep2	RABEP2
Guf1	GUF1
Sdc3	SDC3
Tap2	TAP2
Terf2	TERF2
Poglut2	POGLUT2
Gata4	GATA4
Col27a1	COL27A1
Fbxl20	FBXL20
Insl6	INSL6
Selenok	SELENOK
E4f1	E4F1
Kcnk18	KCNK18
Meig1	MEIG1
Plgrkt	PLGRKT
Blk	BLK
Gm24763	RNU2-40P
Fbln1	FBLN1
Pcdh19	PCDH19
Gcsam	GCSAM
Llgl2	LLGL2
Or52n5	OR52N5
Fam167a	FAM167A
Abcc4	ABCC4
Fap	FAP
Hnrnpul1	HNRNPUL1
Slc18a2	SLC18A2
BC016579	C3orf52
Cyb5b	CYB5B
Fnip2	FNIP2
1700113H08Rik	C12orf42
Tmprss7	TMPRSS7
Hey2	HEY2
Tnmd	TNMD
Mcf2l	MCF2L
